fps,dim,staleness,rmse_kf,rmse_held,n_samples
1,angular_velocity,42,0.6299632216952143,1.5250839415071449,104
1,x,43,0.03301525676450676,0.1690598705918671,102
1,vx,43,0.12008122400092601,0.36056492102535587,102
1,y,43,0.06105001694009326,0.7283731864281946,102
1,vy,43,0.0986094149598024,1.2284117483827681,102
1,angle,43,0.5200943084050736,1.4887732956186268,102
1,angular_velocity,43,0.6295628206254302,1.578009573815584,102
1,x,44,0.033921210480862225,0.17213009913699062,102
1,vx,44,0.12287227962962619,0.361199803194954,102
1,y,44,0.06284970023200957,0.7574969224559809,102
1,vy,44,0.09717012720442719,1.260961378255184,102
1,angle,44,0.5476742485636831,1.56553955615854,102
1,angular_velocity,44,0.63673001458471,1.6188392216839327,102
1,x,45,0.03483074492981314,0.17520549918111158,102
1,vx,45,0.12536988521168468,0.36642971365957927,102
1,y,45,0.06470010655098592,0.7872986089028001,102
1,vy,45,0.09803590728662709,1.2907385887461673,102
1,angle,45,0.5757881695781647,1.644421136431012,102
1,angular_velocity,45,0.642368442245451,1.659840535885211,102
1,x,46,0.0357804001078651,0.17830981564662812,102
1,vx,46,0.1310499197322387,0.37094264284262274,102
1,y,46,0.06655438969906917,0.8177703693435492,102
1,vy,46,0.09649880373537861,1.3194708375042483,102
1,angle,46,0.6045104054272173,1.7253850182749755,102
1,angular_velocity,46,0.6497638739495835,1.7005954719063365,102
1,x,47,0.0367406069089444,0.18143244636379977,102
1,vx,47,0.1328496552730347,0.37232736727738147,102
1,y,47,0.06842951304235463,0.8489649438260303,102
1,vy,47,0.09596785791232766,1.349489290342796,102
1,angle,47,0.6336641396811322,1.8084116785012403,102
1,angular_velocity,47,0.6539219487518372,1.7410862612296734,102
1,x,48,0.037719327328051916,0.18459413378717146,102
1,vx,48,0.1328535003961942,0.3682559337447483,102
1,y,48,0.07032436985062651,0.8808079859385948,102
1,vy,48,0.13144410775132034,1.3817346754407016,102
1,angle,48,0.663682937873207,1.8933478561064383,102
1,angular_velocity,48,0.7287169995106271,1.8013339755602729,102
1,x,49,0.03867488650926182,0.17860990376754063,101
1,vx,49,0.13957475268276606,0.2696339106104723,101
1,y,49,0.07186702570333979,0.911504260539057,101
1,vy,49,0.19514699430072063,1.4048079684245462,101
1,angle,49,0.68451826106437,1.9792249952977865,101
1,angular_velocity,49,0.6706845363644102,1.8624555238074945,101
5,x,0,0.014027126684888619,0.0491755812144836,1354
5,vx,0,0.045989730231829166,0.04739995827564267,1354
5,y,0,0.021080309455965684,0.048807884266099485,1354
5,vy,0,0.0443377630651032,0.04665510697583853,1354
5,angle,0,0.04252770300482901,0.048762875320168694,1354
5,angular_velocity,0,0.047044928436549456,0.0478053971377518,1354
5,x,1,0.014593084907097723,0.05106158658551221,1238
5,vx,1,0.05282781435722367,0.05672309590137011,1238
5,y,1,0.02183438624168842,0.0540228861644181,1238
5,vy,1,0.06667432868256519,0.07312807786173607,1238
5,angle,1,0.04126854020337268,0.05518946942805876,1238
5,angular_velocity,1,0.18943858587874238,0.19090301325878867,1238
5,x,2,0.014721179234123888,0.05131509284067583,1225
5,vx,2,0.05682530805339426,0.0669403303868911,1225
5,y,2,0.02206313799751354,0.06140239181909868,1225
5,vy,2,0.09154587614059909,0.10501632260887785,1225
5,angle,2,0.042843393887067475,0.06379541371486265,1225
5,angular_velocity,2,0.27287771038994224,0.27868000764400963,1225
5,x,3,0.01483996206144177,0.05181716947552339,1213
5,vx,3,0.06201422795641899,0.08077353469578753,1213
5,y,3,0.022442491969662123,0.071581244067199,1213
5,vy,3,0.1036262243091011,0.12560734378273658,1213
5,angle,3,0.04557678137106476,0.07385054464603423,1213
5,angular_velocity,3,0.27735196957718106,0.2920979260361221,1213
5,x,4,0.014990998120597484,0.052393950927819864,1207
5,vx,4,0.06276264937634182,0.09105354693399804,1207
5,y,4,0.023059216462345256,0.08323977191374633,1207
5,vy,4,0.09964952133642199,0.1351747346666031,1207
5,angle,4,0.051781549391625756,0.0859106488356027,1207
5,angular_velocity,4,0.3201091910101809,0.34325698763465357,1207
5,x,5,0.015147996806359094,0.053252599286183144,1203
5,vx,5,0.06585919054179856,0.10507105645269087,1203
5,y,5,0.023814470103599845,0.09623408986090631,1203
5,vy,5,0.10863292249053276,0.1558073078180004,1203
5,angle,5,0.06029422434371399,0.10017212390111695,1203
5,angular_velocity,5,0.34860698632554876,0.38034634420324903,1203
5,x,6,0.015245094417317057,0.05416942709721385,1194
5,vx,6,0.06817662413033748,0.11826577601288674,1194
5,y,6,0.02475342440371371,0.10991082161661776,1194
5,vy,6,0.11264288196473353,0.1738488517310475,1194
5,angle,6,0.06964910478159324,0.110403706739655,1194
5,angular_velocity,6,0.3224126487542203,0.3695292810334555,1194
5,x,7,0.015450440293541255,0.05529695553725569,1189
5,vx,7,0.07152519436700544,0.13109516505296098,1189
5,y,7,0.02594432398858123,0.1240160579183837,1189
5,vy,7,0.12424032643145551,0.19731081982200874,1189
5,angle,7,0.0804045210232891,0.12407210783686295,1189
5,angular_velocity,7,0.36693337189734965,0.4195236959552525,1189
5,x,8,0.015704985773554676,0.05681125126107369,1182
5,vx,8,0.07646492560774452,0.14521803933765115,1182
5,y,8,0.02733148286885184,0.13835895089421127,1182
5,vy,8,0.13151740552887933,0.21735732348401346,1182
5,angle,8,0.09196827344901451,0.13951550780784977,1182
5,angular_velocity,8,0.42016661684874196,0.47783783166517074,1182
5,x,9,0.015945962094358092,0.05828134970954368,1170
5,vx,9,0.08164157695033626,0.16060488923572488,1170
5,y,9,0.028882728397559006,0.1532657165046282,1170
5,vy,9,0.15120448895218816,0.244888245307212,1170
5,angle,9,0.1041314388600941,0.15302176335195083,1170
5,angular_velocity,9,0.38729252259268065,0.4558270103354366,1170
10,x,0,0.010394127491612478,0.04953147247124908,4219
10,vx,0,0.04766609661939454,0.04947390303530159,4219
10,y,0,0.01634087462101412,0.04893631210974604,4219
10,vy,0,0.045587951603243505,0.04877401908987814,4219
10,angle,0,0.028166439673395136,0.04980335656431035,4219
10,angular_velocity,0,0.047265304327430716,0.04835080591859915,4219
10,x,1,0.01055741253606804,0.05023452669736531,4101
10,vx,1,0.05040798216106535,0.054827764173706245,4101
10,y,1,0.01674303354738652,0.05065759286452386,4101
10,vy,1,0.0541218171332734,0.060618722162109236,4101
10,angle,1,0.028250317299763433,0.05195686935250818,4101
10,angular_velocity,1,0.10212220484970132,0.10662485079706985,4101
10,x,2,0.010651363495360245,0.050458073686992615,4087
10,vx,2,0.05222159686568626,0.0614276648785457,4087
10,y,2,0.016974054814190984,0.05411791263317355,4087
10,vy,2,0.06482753555684624,0.07688583677812054,4087
10,angle,2,0.029428126096482096,0.055551045053082754,4087
10,angular_velocity,2,0.1599632475517542,0.1683198046524081,4087
10,x,3,0.010765327591973217,0.05072510505962081,4063
10,vx,3,0.05488229344056211,0.06969751365490207,4063
10,y,3,0.017269481638818373,0.059491152042134426,4063
10,vy,3,0.07431617382738734,0.09254681057178653,4063
10,angle,3,0.031998773199363895,0.05995149429147608,4063
10,angular_velocity,3,0.18275540256377246,0.19641725039509805,4063
10,x,4,0.010893503186198578,0.05117684967166992,4044
10,vx,4,0.05676455509728138,0.07808611045574401,4044
10,y,4,0.0176700088798039,0.06641023068823074,4044
10,vy,4,0.08546215387414212,0.10897468508666666,4044
10,angle,4,0.036596098697376914,0.0653755933765723,4044
10,angular_velocity,4,0.215391814786725,0.23257568396345168,4044
25,x,0,0.006730608826670646,0.04941979083020562,15499
25,vx,0,0.04579147599724465,0.04949599105252907,15499
25,y,0,0.012321668373648727,0.05032777094811127,15499
25,vy,0,0.04355446079589741,0.05005512392696062,15499
25,angle,0,0.017452013581906487,0.0497233110446064,15499
