global_step=26912 | return=-555.26 | steps=79
global_step=26912 | return=-320.20 | steps=51
global_step=27008 | return=-110.47 | steps=89
global_step=27040 | return=-401.20 | steps=51
global_step=27136 | return=130.36 | steps=247
global_step=27232 | return=-485.84 | steps=61
global_step=27392 | return=-283.04 | steps=78
global_step=27648 | return=-487.00 | steps=77
global_step=27680 | return=-228.68 | steps=51
global_step=27680 | return=-265.09 | steps=53
global_step=27808 | return=-363.32 | steps=64
global_step=27904 | return=-457.90 | steps=57
global_step=27968 | return=-534.24 | steps=151
global_step=28032 | return=-158.67 | steps=113
global_step=28032 | return=-271.28 | steps=54
global_step=28160 | return=-210.03 | steps=100
global_step=28160 | return=-476.10 | steps=58
global_step=28320 | return=-238.16 | steps=58
global_step=28320 | return=-526.27 | steps=62
global_step=28448 | return=-259.36 | steps=56
global_step=28448 | return=-355.68 | steps=68
global_step=28512 | return=-390.02 | steps=61
global_step=28608 | return=-276.39 | steps=54
global_step=28640 | return=-359.67 | steps=53
global_step=28896 | return=-229.80 | steps=62
global_step=29280 | return=-187.86 | steps=66
global_step=29376 | return=-218.22 | steps=76
global_step=29504 | return=-330.47 | steps=98
global_step=29536 | return=-145.06 | steps=109
global_step=29568 | return=-658.52 | steps=72
global_step=29696 | return=-292.46 | steps=55
global_step=29728 | return=19.49 | steps=500
global_step=29824 | return=-259.00 | steps=199
global_step=29856 | return=-403.25 | steps=52
global_step=29952 | return=-274.82 | steps=79
global_step=30016 | return=-483.61 | steps=61
global_step=30080 | return=-572.00 | steps=183
global_step=30144 | return=-596.82 | steps=76
global_step=30208 | return=255.48 | steps=185
global_step=30240 | return=-252.55 | steps=55
global_step=30336 | return=-170.30 | steps=109
global_step=30560 | return=-617.22 | steps=69
global_step=30656 | return=-193.38 | steps=88
global_step=30688 | return=-548.50 | steps=67
global_step=30720 | return=-401.44 | steps=56
global_step=30752 | return=-590.21 | steps=66
global_step=30784 | return=-224.51 | steps=66
global_step=30816 | return=-128.86 | steps=77
global_step=30816 | return=-553.15 | steps=73
global_step=30816 | return=-218.85 | steps=88
global_step=31072 | return=-351.09 | steps=52
global_step=31104 | return=-118.70 | steps=107
global_step=31168 | return=-157.33 | steps=58
global_step=31584 | return=-439.24 | steps=58
global_step=31616 | return=-40.90 | steps=111
global_step=31648 | return=-379.96 | steps=52
global_step=32000 | return=-610.77 | steps=77
global_step=32192 | return=-251.15 | steps=73
global_step=32256 | return=-198.85 | steps=74
global_step=32416 | return=-275.17 | steps=88
global_step=32480 | return=-548.83 | steps=74
global_step=32544 | return=-361.44 | steps=53
global_step=32544 | return=-129.98 | steps=68
global_step=32640 | return=-222.95 | steps=56
global_step=32672 | return=-398.51 | steps=59
global_step=32768 | return=-537.29 | steps=65
global_step=32768 | return=-604.80 | steps=78
SPS: 642
global_step=32800 | return=-172.10 | steps=101
global_step=32896 | return=-70.30 | steps=182
global_step=32992 | return=-510.54 | steps=75
global_step=33152 | return=-262.16 | steps=72
global_step=33216 | return=-541.37 | steps=78
global_step=33216 | return=-271.93 | steps=77
global_step=33248 | return=-283.33 | steps=76
global_step=33280 | return=-150.97 | steps=65
global_step=33504 | return=-284.98 | steps=58
global_step=33632 | return=-239.21 | steps=121
global_step=33664 | return=-256.13 | steps=62
global_step=33728 | return=-540.37 | steps=82
global_step=34080 | return=-198.52 | steps=64
global_step=34208 | return=-229.24 | steps=81
global_step=34272 | return=-81.36 | steps=132
global_step=34304 | return=-316.61 | steps=129
global_step=34400 | return=219.93 | steps=284
global_step=34528 | return=-267.49 | steps=65
global_step=34560 | return=-137.22 | steps=62
global_step=34752 | return=-419.49 | steps=54
global_step=34848 | return=-186.02 | steps=60
global_step=34912 | return=-148.86 | steps=118
global_step=34912 | return=-257.67 | steps=54
global_step=34976 | return=-197.33 | steps=68
global_step=34976 | return=-325.17 | steps=77
global_step=35008 | return=-234.58 | steps=68
global_step=35040 | return=-261.49 | steps=73
global_step=35040 | return=-261.81 | steps=56
global_step=35104 | return=-249.51 | steps=56
global_step=35424 | return=-686.75 | steps=226
