global_step=13792 | return=-281.66 | steps=63
global_step=13952 | return=-272.09 | steps=152
global_step=14176 | return=-336.93 | steps=76
global_step=14208 | return=-195.51 | steps=92
global_step=14208 | return=-331.47 | steps=88
global_step=14368 | return=-218.93 | steps=59
global_step=14432 | return=-384.91 | steps=75
global_step=14624 | return=-397.56 | steps=55
global_step=14720 | return=-405.36 | steps=60
global_step=14784 | return=-311.45 | steps=67
global_step=14912 | return=-170.30 | steps=102
global_step=14944 | return=-196.36 | steps=74
global_step=14944 | return=-166.99 | steps=90
global_step=14944 | return=-207.44 | steps=86
global_step=14944 | return=-383.51 | steps=70
global_step=15040 | return=-215.79 | steps=74
global_step=15040 | return=-224.80 | steps=60
global_step=15136 | return=-435.92 | steps=64
global_step=15232 | return=-600.46 | steps=133
global_step=15264 | return=-285.50 | steps=74
global_step=15360 | return=-218.30 | steps=85
global_step=15392 | return=-539.61 | steps=72
global_step=15456 | return=-278.88 | steps=92
global_step=15520 | return=-207.67 | steps=81
global_step=15616 | return=-269.44 | steps=56
global_step=15648 | return=-477.53 | steps=70
global_step=15776 | return=-134.05 | steps=90
global_step=15776 | return=-214.80 | steps=56
global_step=15776 | return=-215.46 | steps=88
global_step=15840 | return=-299.16 | steps=71
global_step=15872 | return=-267.84 | steps=66
global_step=15904 | return=-339.22 | steps=73
global_step=15968 | return=-277.31 | steps=85
global_step=16032 | return=-321.70 | steps=75
global_step=16192 | return=-433.82 | steps=56
global_step=16384 | return=-347.10 | steps=54
global_step=16608 | return=-156.74 | steps=74
global_step=16768 | return=-241.62 | steps=80
global_step=16896 | return=-466.87 | steps=60
global_step=16896 | return=-262.36 | steps=76
global_step=17024 | return=-422.57 | steps=87
global_step=17088 | return=-365.37 | steps=52
global_step=17152 | return=-363.57 | steps=68
global_step=17184 | return=-247.48 | steps=76
global_step=17216 | return=-256.62 | steps=67
global_step=17248 | return=-331.86 | steps=53
global_step=17472 | return=-325.07 | steps=79
global_step=17472 | return=-271.20 | steps=62
global_step=17536 | return=-289.66 | steps=70
global_step=17568 | return=-277.27 | steps=55
global_step=17568 | return=-247.53 | steps=72
global_step=17600 | return=-236.52 | steps=87
global_step=17632 | return=-652.51 | steps=83
global_step=17760 | return=-396.53 | steps=55
global_step=17792 | return=-401.05 | steps=85
global_step=17824 | return=-269.04 | steps=83
global_step=17856 | return=-194.94 | steps=77
global_step=17920 | return=-440.94 | steps=71
global_step=17920 | return=-248.77 | steps=92
global_step=18048 | return=-162.70 | steps=70
